index,feature_name,feature_group
257,LBP_feat_65,LBP
258,LBP_feat_66,LBP
259,LBP_feat_67,LBP
260,LBP_feat_68,LBP
261,LBP_feat_69,LBP
262,area_ratio,Shape
263,rect_ratio,Shape
264,solidity,Shape
265,eccentricity,Shape
266,extent,Shape
267,hu1,Shape
268,hu2,Shape
269,hu3,Shape
270,hu4,Shape
271,hu5,Shape
272,hu6,Shape
273,hu7,Shape
274,lesion_ratio,Lesion
275,lesion_count,Lesion
276,lesion_big_count,Lesion
277,lesion_small_count,Lesion
278,lesion_edge_ratio,Lesion
279,lesion_inner_ratio,Lesion
280,lesion_lbp_bin0,Lesion
281,lesion_lbp_bin1,Lesion
282,lesion_lbp_bin2,Lesion
283,lesion_lbp_bin3,Lesion
284,lesion_lbp_bin4,Lesion
285,lesion_lbp_bin5,Lesion
286,lesion_lbp_bin6,Lesion
287,lesion_lbp_bin7,Lesion
288,lesion_lbp_bin8,Lesion
289,lesion_lbp_bin9,Lesion
290,lesion_lbp_bin10,Lesion
291,lesion_lbp_bin11,Lesion
292,lesion_lbp_bin12,Lesion
293,lesion_lbp_bin13,Lesion
294,lesion_lbp_bin14,Lesion
295,lesion_lbp_bin15,Lesion
